ZipCodePrefix,City,State,Latitude,Longitude,Region,RowEffectiveDate,RowExpirationDate,CurrentFlag
1001,sao paulo,SP,-23.550189776551765,-46.634023555904214,,2025-03-21T13:50:24.495Z,,true
1002,sao paulo,SP,-23.54814573176355,-46.63497921074498,,2025-03-21T13:50:24.495Z,,true
1003,sao paulo,SP,-23.548993724813155,-46.63573130997587,,2025-03-21T13:50:24.495Z,,true
1004,sao paulo,SP,-23.549798842277003,-46.63475694378971,,2025-03-21T13:50:24.495Z,,true
1005,sao paulo,SP,-23.54945619983075,-46.63673294803691,,2025-03-21T13:50:24.495Z,,true
1006,sao paulo,SP,-23.550101811452866,-46.636136735174176,,2025-03-21T13:50:24.495Z,,true
1007,sao paulo,SP,-23.550046202351666,-46.63725145963765,,2025-03-21T13:50:24.495Z,,true
1008,sao paulo,SP,-23.546001749383464,-46.63588592135779,,2025-03-21T13:50:24.495Z,,true
1009,sao paulo,SP,-23.546835208320854,-46.636490695312204,,2025-03-21T13:50:24.495Z,,true
1010,sao paulo,SP,-23.546389438369268,-46.635226081509046,,2025-03-21T13:50:24.495Z,,true
1011,sao paulo,SP,-23.54690864025111,-46.6355820263604,,2025-03-21T13:50:24.495Z,,true
1012,são paulo,SP,-23.54778973314686,-46.63485900505736,,2025-03-21T13:50:24.495Z,,true
1013,sao paulo,SP,-23.547142028323904,-46.63423580006205,,2025-03-21T13:50:24.495Z,,true
1014,sao paulo,SP,-23.545912805690424,-46.633615371244936,,2025-03-21T13:50:24.495Z,,true
1015,sao paulo,SP,-23.547665749383476,-46.631558570722675,,2025-03-21T13:50:24.495Z,,true
1016,sao paulo,SP,-23.548976407029944,-46.63235192955855,,2025-03-21T13:50:24.495Z,,true
1017,são paulo,SP,-23.549531271947856,-46.63102384555222,,2025-03-21T13:50:24.495Z,,true
1018,sao paulo,SP,-23.55092851790901,-46.63243146837754,,2025-03-21T13:50:24.495Z,,true
1019,sao paulo,SP,-23.551774137807588,-46.63089338270139,,2025-03-21T13:50:24.495Z,,true
1020,são paulo,SP,-23.552335651551417,-46.63004970984574,,2025-03-21T13:50:24.495Z,,true
1021,sao paulo,SP,-23.543000459064803,-46.632143233862486,,2025-03-21T13:50:24.495Z,,true
1022,sao paulo,SP,-23.544921826153427,-46.631931335611945,,2025-03-21T13:50:24.495Z,,true
1023,sao paulo,SP,-23.542330784361457,-46.63137340438762,,2025-03-21T13:50:24.495Z,,true
1024,são paulo,SP,-23.54140143278026,-46.62990400057277,,2025-03-21T13:50:24.495Z,,true
1025,sao paulo,SP,-23.540291945676334,-46.630928059419446,,2025-03-21T13:50:24.495Z,,true
1026,são paulo,SP,-23.539657127270956,-46.63188421270581,,2025-03-21T13:50:24.495Z,,true
1027,sao paulo,SP,-23.538082328385336,-46.630668675067795,,2025-03-21T13:50:24.495Z,,true
1028,sao paulo,SP,-23.535932541180536,-46.63355514575825,,2025-03-21T13:50:24.495Z,,true
1029,sao paulo,SP,-23.541373048980535,-46.633415988443026,,2025-03-21T13:50:24.495Z,,true
1030,são paulo,SP,-23.539549291753428,-46.63302325151353,,2025-03-21T13:50:24.495Z,,true
1031,sao paulo,SP,-23.541905853440447,-46.63508761691669,,2025-03-21T13:50:24.495Z,,true
1032,sao paulo,SP,-23.540124454559965,-46.635193543797676,,2025-03-21T13:50:24.495Z,,true
1033,sao paulo,SP,-23.5392714370778,-46.63587808421484,,2025-03-21T13:50:24.495Z,,true
1034,sao paulo,SP,-23.542515317419948,-46.637367448800894,,2025-03-21T13:50:24.495Z,,true
1035,sao paulo,SP,-23.541614488738958,-46.64154914252655,,2025-03-21T13:50:24.495Z,,true
1036,sao paulo,SP,-23.541648452336286,-46.641443277359315,,2025-03-21T13:50:24.495Z,,true
1037,sao paulo,SP,-23.545411016454086,-46.63892437204837,,2025-03-21T13:50:24.495Z,,true
1038,sao paulo,SP,-23.54390737962768,-46.639993806093905,,2025-03-21T13:50:24.495Z,,true
1039,sao paulo,SP,-23.54137085777194,-46.63916528885119,,2025-03-21T13:50:24.495Z,,true
1040,sao paulo,SP,-23.541028179008826,-46.638324694969405,,2025-03-21T13:50:24.495Z,,true
1041,sao paulo,SP,-23.54390458746036,-46.640046486444724,,2025-03-21T13:50:24.495Z,,true
1042,sao paulo,SP,-23.544852949531748,-46.640410456031695,,2025-03-21T13:50:24.495Z,,true
1043,são paulo,SP,-23.545765991186382,-46.641502464541404,,2025-03-21T13:50:24.495Z,,true
1044,sao paulo,SP,-23.545598238423416,-46.641452670153164,,2025-03-21T13:50:24.495Z,,true
1045,sao paulo,SP,-23.542345366178562,-46.64252697570119,,2025-03-21T13:50:24.495Z,,true
1046,sao paulo,SP,-23.545930039168788,-46.6439975177819,,2025-03-21T13:50:24.495Z,,true
1047,sao paulo,SP,-23.54618760708176,-46.64106743356166,,2025-03-21T13:50:24.495Z,,true
1048,são paulo,SP,-23.54711318884073,-46.639839874896374,,2025-03-21T13:50:24.495Z,,true
1049,sao paulo,SP,-23.547011236746002,-46.63916570493306,,2025-03-21T13:50:24.495Z,,true
1050,sao paulo,SP,-23.549229163580517,-46.64303023455155,,2025-03-21T13:50:24.495Z,,true
1101,sao paulo,SP,-23.528286860378213,-46.63195753503104,,2025-03-21T13:50:24.495Z,,true
1102,são paulo,SP,-23.525571406955734,-46.63028748439393,,2025-03-21T13:50:24.495Z,,true
1103,são paulo,SP,-23.53546844605214,-46.630290773383464,,2025-03-21T13:50:24.495Z,,true
1104,sao paulo,SP,-23.534952165368537,-46.62957039061348,,2025-03-21T13:50:24.495Z,,true
1105,sao paulo,SP,-23.53409398177586,-46.62907768017333,,2025-03-21T13:50:24.495Z,,true
1106,sao paulo,SP,-23.53022077513783,-46.6282212595308,,2025-03-21T13:50:24.495Z,,true
1107,sao paulo,SP,-23.526087892031367,-46.629589887186604,,2025-03-21T13:50:24.495Z,,true
1108,sao paulo,SP,-23.527232171325494,-46.630354418199865,,2025-03-21T13:50:24.495Z,,true
1109,sao paulo,SP,-23.524624899587646,-46.627103243360565,,2025-03-21T13:50:24.495Z,,true
1120,sao paulo,SP,-23.530162529753113,-46.6395114116631,,2025-03-21T13:50:24.495Z,,true
1121,sao paulo,SP,-23.52786665899882,-46.635256920492864,,2025-03-21T13:50:24.495Z,,true
1122,são paulo,SP,-23.531130596538613,-46.638324826141904,,2025-03-21T13:50:24.495Z,,true
1123,sao paulo,SP,-23.5291645437106,-46.63658239267473,,2025-03-21T13:50:24.495Z,,true
1124,sao paulo,SP,-23.528221233825743,-46.63309540109692,,2025-03-21T13:50:24.495Z,,true
1125,sao paulo,SP,-23.527288449571635,-46.64016432350875,,2025-03-21T13:50:24.495Z,,true
1126,sao paulo,SP,-23.527066549337558,-46.6391527868084,,2025-03-21T13:50:24.495Z,,true
1127,sao paulo,SP,-23.525480803366627,-46.64159548852642,,2025-03-21T13:50:24.495Z,,true
1128,sao paulo,SP,-23.523786738657147,-46.64220966455255,,2025-03-21T13:50:24.495Z,,true
1129,sao paulo,SP,-23.524051385464382,-46.645073040129965,,2025-03-21T13:50:24.495Z,,true
1130,sao paulo,SP,-23.524830820867123,-46.64492992157745,,2025-03-21T13:50:24.495Z,,true
1131,sao paulo,SP,-23.52237973767103,-46.64310784736644,,2025-03-21T13:50:24.495Z,,true
1132,sao paulo,SP,-23.521539879304328,-46.64873923331726,,2025-03-21T13:50:24.495Z,,true
1133,sao paulo,SP,-23.52042428170985,-46.65332230946677,,2025-03-21T13:50:24.495Z,,true
1134,são paulo,SP,-23.518899939878278,-46.65269033643668,,2025-03-21T13:50:24.495Z,,true
1135,sao paulo,SP,-23.526190426729194,-46.650970041202214,,2025-03-21T13:50:24.495Z,,true
1136,são paulo,SP,-23.523986920181727,-46.66135135045781,,2025-03-21T13:50:24.495Z,,true
1137,são paulo,SP,-23.522851480322114,-46.65280923153936,,2025-03-21T13:50:24.495Z,,true
1138,sao paulo,SP,-23.52245582393925,-46.65525390366422,,2025-03-21T13:50:24.495Z,,true
1139,sao paulo,SP,-23.520724956071753,-46.665938971441705,,2025-03-21T13:50:24.495Z,,true
1140,sao paulo,SP,-23.520438443709033,-46.6692371684404,,2025-03-21T13:50:24.495Z,,true
1141,são paulo,SP,-23.52031032590555,-46.66643901391753,,2025-03-21T13:50:24.495Z,,true
1142,sao paulo,SP,-23.519934305152642,-46.6251300217966,,2025-03-21T13:50:24.495Z,,true
1144,sao paulo,SP,-23.52357274929584,-46.67242459028444,,2025-03-21T13:50:24.495Z,,true
1150,sao paulo,SP,-23.532953023597276,-46.65824594266136,,2025-03-21T13:50:24.495Z,,true
1151,sao paulo,SP,-23.53164158468372,-46.65628875324909,,2025-03-21T13:50:24.495Z,,true
1152,sao paulo,SP,-23.529884845741275,-46.65527643333265,,2025-03-21T13:50:24.495Z,,true
1153,são paulo,SP,-23.52993084629874,-46.65354908690434,,2025-03-21T13:50:24.495Z,,true
1154,sao paulo,SP,-23.53053589724994,-46.65929570388057,,2025-03-21T13:50:24.495Z,,true
1155,sao paulo,SP,-23.529072884025155,-46.66331995168207,,2025-03-21T13:50:24.495Z,,true
1156,são paulo,SP,-23.52892113830292,-46.66643724514501,,2025-03-21T13:50:24.495Z,,true
1189,sao paulo,SP,-23.53210825506378,-46.63839470107914,,2025-03-21T13:50:24.495Z,,true
1200,sao paulo,SP,-23.531567773241413,-46.64986907784642,,2025-03-21T13:50:24.495Z,,true
1201,sao paulo,SP,-23.536082809674177,-46.6495393904693,,2025-03-21T13:50:24.495Z,,true
1202,são paulo,SP,-23.533742576459318,-46.64828045105448,,2025-03-21T13:50:24.495Z,,true
1203,sao paulo,SP,-23.53596465666131,-46.64529955632679,,2025-03-21T13:50:24.495Z,,true
1204,sao paulo,SP,-23.53599263946852,-46.64408982260721,,2025-03-21T13:50:24.495Z,,true
1205,são paulo,SP,-23.536490774893966,-46.642641966809634,,2025-03-21T13:50:24.495Z,,true
1206,sao paulo,SP,-23.535863685117462,-46.64281871336397,,2025-03-21T13:50:24.495Z,,true
1207,sao paulo,SP,-23.53917556013519,-46.63865415001012,,2025-03-21T13:50:24.495Z,,true
1208,sao paulo,SP,-23.538660495662256,-46.63898204602016,,2025-03-21T13:50:24.495Z,,true
1209,sao paulo,SP,-23.540695255566053,-46.641582935722816,,2025-03-21T13:50:24.495Z,,true
1210,são paulo,SP,-23.540039340558916,-46.64209131081345,,2025-03-21T13:50:24.495Z,,true
1211,sao paulo,SP,-23.53757657410565,-46.648837901189,,2025-03-21T13:50:24.495Z,,true
1212,são paulo,SP,-23.538268511790662,-46.63942263256764,,2025-03-21T13:50:24.495Z,,true
1213,sao paulo,SP,-23.53650149461516,-46.64036116340707,,2025-03-21T13:50:24.495Z,,true
1214,sao paulo,SP,-23.53884249396187,-46.64523045306012,,2025-03-21T13:50:24.495Z,,true
1215,são paulo,SP,-23.53616739991495,-46.64754185786534,,2025-03-21T13:50:24.495Z,,true
