CategoryKey,OrderStatus,OrdersCount,TotalSales,UniqueCustomers,LastUpdated
office_furniture,DELIVERED,1668,268154.31000000023,1254,2025-03-21T13:50:53.502Z
consoles_games,SHIPPED,6,618.4100000000001,6,2025-03-21T13:50:53.502Z
pet_shop,APPROVED,9,1015.3800000000001,8,2025-03-21T13:50:53.502Z
furniture_bedroom,DELIVERED,103,19051.8,90,2025-03-21T13:50:53.502Z
small_appliances,APPROVED,17,6336.34,17,2025-03-21T13:50:53.502Z
food_drink,SHIPPED,2,105.8,2,2025-03-21T13:50:53.502Z
office_furniture,SHIPPED,10,2033.72,10,2025-03-21T13:50:53.502Z
audio,DELIVERED,362,50570.59999999996,348,2025-03-21T13:50:53.502Z
construction_tools_construction,SHIPPED,4,653.0,4,2025-03-21T13:50:53.502Z
watches_gifts,APPROVED,56,15560.61,54,2025-03-21T13:50:53.502Z
consoles_games,APPROVED,42,8843.440000000002,38,2025-03-21T13:50:53.502Z
home_appliances_2,DELIVERED,231,107953.95000000001,227,2025-03-21T13:50:53.502Z
baby,APPROVED,48,6173.02,42,2025-03-21T13:50:53.502Z
drinks,DELIVERED,361,21529.83999999999,287,2025-03-21T13:50:53.502Z
food_drink,DELIVERED,269,14942.88,221,2025-03-21T13:50:53.502Z
health_beauty,APPROVED,77,11676.759999999998,72,2025-03-21T13:50:53.502Z
perfumery,SHIPPED,42,3729.5,41,2025-03-21T13:50:53.502Z
musical_instruments,APPROVED,25,6175.25,13,2025-03-21T13:50:53.502Z
signaling_and_security,APPROVED,1,139.9,1,2025-03-21T13:50:53.502Z
furniture_living_room,DELIVERED,495,67350.69999999995,414,2025-03-21T13:50:53.502Z
home_construction,DELIVERED,596,81407.56999999999,483,2025-03-21T13:50:53.502Z
computers_accessories,DELIVERED,7643,888613.6199999925,6529,2025-03-21T13:50:53.502Z
construction_tools_lights,DELIVERED,301,39956.99999999999,242,2025-03-21T13:50:53.502Z
market_place,APPROVED,4,457.9,4,2025-03-21T13:50:53.502Z
furniture_decor,APPROVED,84,9878.97,60,2025-03-21T13:50:53.502Z
costruction_tools_tools,DELIVERED,103,15903.95,97,2025-03-21T13:50:53.502Z
telephony,SHIPPED,62,3453.01,59,2025-03-21T13:50:53.502Z
sports_leisure,SHIPPED,109,12218.8,101,2025-03-21T13:50:53.502Z
electronics,DELIVERED,2729,155043.93000000066,2517,2025-03-21T13:50:53.502Z
costruction_tools_garden,APPROVED,5,209.61,3,2025-03-21T13:50:53.502Z
home_appliances_2,APPROVED,3,2668.0,3,2025-03-21T13:50:53.502Z
christmas_supplies,APPROVED,3,62.980000000000004,3,2025-03-21T13:50:53.502Z
furniture_mattress_and_upholstery,DELIVERED,37,4323.38,37,2025-03-21T13:50:53.502Z
consoles_games,DELIVERED,1089,148003.37000000017,1018,2025-03-21T13:50:53.502Z
electronics,APPROVED,18,3490.96,13,2025-03-21T13:50:53.502Z
computers,DELIVERED,199,218684.13999999998,177,2025-03-21T13:50:53.502Z
dvds_blu_ray,DELIVERED,61,4542.59,56,2025-03-21T13:50:53.502Z
kitchen_dining_laundry_garden_furniture,DELIVERED,274,45531.97999999998,241,2025-03-21T13:50:53.502Z
furniture_bedroom,APPROVED,4,608.98,3,2025-03-21T13:50:53.502Z
christmas_supplies,DELIVERED,150,8737.840000000002,125,2025-03-21T13:50:53.502Z
home_construction,SHIPPED,6,1081.55,5,2025-03-21T13:50:53.502Z
computers_accessories,SHIPPED,91,9189.61,86,2025-03-21T13:50:53.502Z
books_general_interest,DELIVERED,536,45256.24999999995,495,2025-03-21T13:50:53.502Z
fashion_male_clothing,APPROVED,5,295.69000000000005,5,2025-03-21T13:50:53.502Z
pet_shop,DELIVERED,1924,211695.6400000005,1688,2025-03-21T13:50:53.502Z
signaling_and_security,DELIVERED,197,21315.05,138,2025-03-21T13:50:53.502Z
toys,SHIPPED,31,2997.52,30,2025-03-21T13:50:53.502Z
baby,DELIVERED,2982,400421.8400000002,2809,2025-03-21T13:50:53.502Z
uncategorized,SHIPPED,29,5460.99,26,2025-03-21T13:50:53.502Z
fashion_underwear_beach,SHIPPED,3,145.70000000000002,3,2025-03-21T13:50:53.502Z
health_beauty,DELIVERED,9467,1233211.609999991,8649,2025-03-21T13:50:53.502Z
agro_industry_and_commerce,DELIVERED,206,70566.09999999999,177,2025-03-21T13:50:53.502Z
fashion_bags_accessories,DELIVERED,1986,149464.39000000048,1821,2025-03-21T13:50:53.502Z
fashion_bags_accessories,APPROVED,22,2125.71,20,2025-03-21T13:50:53.502Z
home_appliances,DELIVERED,754,78832.47999999998,747,2025-03-21T13:50:53.502Z
construction_tools_safety,DELIVERED,183,38773.22,159,2025-03-21T13:50:53.502Z
perfumery,DELIVERED,3342,390454.45000000024,3088,2025-03-21T13:50:53.502Z
auto,SHIPPED,46,5532.0,46,2025-03-21T13:50:53.502Z
uncategorized,DELIVERED,1559,175967.21000000028,1412,2025-03-21T13:50:53.502Z
cool_stuff,APPROVED,30,16552.699999999997,27,2025-03-21T13:50:53.502Z
books_general_interest,SHIPPED,6,168.75,6,2025-03-21T13:50:53.502Z
